Container contains 1674 elements.
1: This is a plane. Speed: 51, distance to destination: 1912.000000, time to distance: 37.490196, maximum flight distance: 3918, capacity: 173
30: This is a ship. Speed: 35, distance to destination: 1593.000000, time to distance: 45.514286, ship type: liner, displacement: 31649
31: This is a ship. Speed: 4, distance to destination: 771.000000, time to distance: 192.750000, ship type: tugboat, displacement: 27847
32: This is a ship. Speed: 29, distance to destination: 1329.000000, time to distance: 45.827586, ship type: tanker, displacement: 15525
33: 34: 35: 36: This is a ship. Speed: 14, distance to destination: 613.000000, time to distance: 43.785714, ship type: liner, displacement: 33664
37: This is a ship. Speed: 29, distance to destination: 1793.000000, time to distance: 61.827586, ship type: liner, displacement: 12215
38: This is a ship. Speed: 60, distance to destination: 1957.000000, time to distance: 32.616667, ship type: tugboat, displacement: 7126
39: This is a ship. Speed: 31, distance to destination: 1512.000000, time to distance: 48.774194, ship type: tugboat, displacement: 6415
40: This is a plane. Speed: 18, distance to destination: 559.000000, time to distance: 31.055556, maximum flight distance: 2190, capacity: 195
41: 42: This is a ship. Speed: 1, distance to destination: 450.000000, time to distance: 450.000000, ship type: liner, displacement: 3676
43: This is a plane. Speed: 9, distance to destination: 1719.000000, time to distance: 191.000000, maximum flight distance: 2761, capacity: 158
44: This is a ship. Speed: 31, distance to destination: 1269.000000, time to distance: 40.935484, ship type: tanker, displacement: 29148
45: This is a plane. Speed: 37, distance to destination: 1304.000000, time to distance: 35.243243, maximum flight distance: 2463, capacity: 242
46: 47: 48: 49: This is a ship. Speed: 12, distance to destination: 1539.000000, time to distance: 128.250000, ship type: tanker, displacement: 23381
50: This is a plane. Speed: 9, distance to destination: 293.000000, time to distance: 32.555556, maximum flight distance: 3645, capacity: 238
51: This is a plane. Speed: 48, distance to destination: 1572.000000, time to distance: 32.750000, maximum flight distance: 3624, capacity: 166
52: This is a plane. Speed: 39, distance to destination: 1795.000000, time to distance: 46.025641, maximum flight distance: 3608, capacity: 153
53: This is a plane. Speed: 36, distance to destination: 1854.000000, time to distance: 51.500000, maximum flight distance: 3836, capacity: 252
54: This is a plane. Speed: 8, distance to destination: 1588.000000, time to distance: 198.500000, maximum flight distance: 2851, capacity: 228
55: 56: 57: This is a ship. Speed: 54, distance to destination: 1747.000000, time to distance: 32.351852, ship type: tanker, displacement: 5597
58: This is a ship. Speed: 29, distance to destination: 1815.000000, time to distance: 62.586207, ship type: tanker, displacement: 1237
59: This is a plane. Speed: 41, distance to destination: 1927.000000, time to distance: 47.000000, maximum flight distance: 3561, capacity: 188
60: This is a plane. Speed: 19, distance to destination: 685.000000, time to distance: 36.052632, maximum flight distance: 2726, capacity: 126
61: This is a ship. Speed: 28, distance to destination: 1391.000000, time to distance: 49.678571, ship type: liner, displacement: 30956
62: 63: This is a plane. Speed: 3, distance to destination: 1512.000000, time to distance: 504.000000, maximum flight distance: 2532, capacity: 271
64: 65: 66: This is a ship. Speed: 11, distance to destination: 805.000000, time to distance: 73.181818, ship type: tugboat, displacement: 1354
67: This is a ship. Speed: 28, distance to destination: 1497.000000, time to distance: 53.464286, ship type: tugboat, displacement: 9601
68: This is a plane. Speed: 14, distance to destination: 1909.000000, time to distance: 136.357143, maximum flight distance: 3947, capacity: 252
69: 70: 71: 72: This is a ship. Speed: 28, distance to destination: 1650.000000, time to distance: 58.928571, ship type: tanker, displacement: 22134
73: This is a plane. Speed: 22, distance to destination: 757.000000, time to distance: 34.409091, maximum flight distance: 2062, capacity: 173
74: This is a plane. Speed: 29, distance to destination: 965.000000, time to distance: 33.275862, maximum flight distance: 2687, capacity: 101
75: This is a plane. Speed: 2, distance to destination: 1128.000000, time to distance: 564.000000, maximum flight distance: 3099, capacity: 180
76: This is a ship. Speed: 20, distance to destination: 746.000000, time to distance: 37.300000, ship type: liner, displacement: 13535
77: This is a plane. Speed: 38, distance to destination: 1205.000000, time to distance: 31.710526, maximum flight distance: 2221, capacity: 149
78: 79: This is a plane. Speed: 15, distance to destination: 585.000000, time to distance: 39.000000, maximum flight distance: 2290, capacity: 280
80: This is a ship. Speed: 26, distance to destination: 1361.000000, time to distance: 52.346154, ship type: tanker, displacement: 2186
81: 82: This is a ship. Speed: 6, distance to destination: 1190.000000, time to distance: 198.333333, ship type: tugboat, displacement: 11686
83: This is a ship. Speed: 14, distance to destination: 1763.000000, time to distance: 125.928571, ship type: liner, displacement: 20987
84: 85: This is a ship. Speed: 49, distance to destination: 1607.000000, time to distance: 32.795918, ship type: liner, displacement: 9521
86: This is a plane. Speed: 66, distance to destination: 1999.000000, time to distance: 30.287879, maximum flight distance: 2225, capacity: 154
87: This is a plane. Speed: 5, distance to destination: 1931.000000, time to distance: 386.200000, maximum flight distance: 3175, capacity: 300
88: This is a ship. Speed: 51, distance to destination: 1797.000000, time to distance: 35.235294, ship type: liner, displacement: 19686
89: 90: 91: 92: This is a ship. Speed: 21, distance to destination: 1126.000000, time to distance: 53.619048, ship type: liner, displacement: 3253
93: 94: This is a ship. Speed: 26, distance to destination: 1077.000000, time to distance: 41.423077, ship type: liner, displacement: 15889
95: This is a plane. Speed: 4, distance to destination: 1846.000000, time to distance: 461.500000, maximum flight distance: 3367, capacity: 141
96: This is a plane. Speed: 16, distance to destination: 1171.000000, time to distance: 73.187500, maximum flight distance: 3792, capacity: 225
97: This is a plane. Speed: 1, distance to destination: 710.000000, time to distance: 710.000000, maximum flight distance: 2849, capacity: 130
98: This is a plane. Speed: 16, distance to destination: 872.000000, time to distance: 54.500000, maximum flight distance: 2638, capacity: 258
99: This is a plane. Speed: 14, distance to destination: 1088.000000, time to distance: 77.714286, maximum flight distance: 3696, capacity: 198
100: 101: This is a ship. Speed: 20, distance to destination: 923.000000, time to distance: 46.150000, ship type: liner, displacement: 30071
102: This is a plane. Speed: 33, distance to destination: 1637.000000, time to distance: 49.606061, maximum flight distance: 2058, capacity: 192
103: This is a plane. Speed: 5, distance to destination: 1228.000000, time to distance: 245.600000, maximum flight distance: 3721, capacity: 165
104: 105: This is a plane. Speed: 25, distance to destination: 1440.000000, time to distance: 57.600000, maximum flight distance: 3202, capacity: 222
106: 107: 108: This is a plane. Speed: 22, distance to destination: 1959.000000, time to distance: 89.045455, maximum flight distance: 3625, capacity: 289
109: This is a plane. Speed: 30, distance to destination: 1642.000000, time to distance: 54.733333, maximum flight distance: 2725, capacity: 206
110: 111: This is a plane. Speed: 16, distance to destination: 483.000000, time to distance: 30.187500, maximum flight distance: 3648, capacity: 156
112: This is a ship. Speed: 32, distance to destination: 1063.000000, time to distance: 33.218750, ship type: tanker, displacement: 15384
113: This is a ship. Speed: 64, distance to destination: 2000.000000, time to distance: 31.250000, ship type: tugboat, displacement: 5780
114: 115: This is a ship. Speed: 4, distance to destination: 1417.000000, time to distance: 354.250000, ship type: liner, displacement: 18218
116: This is a ship. Speed: 10, distance to destination: 705.000000, time to distance: 70.500000, ship type: tanker, displacement: 12491
117: This is a ship. Speed: 15, distance to destination: 1821.000000, time to distance: 121.400000, ship type: tugboat, displacement: 6024
118: This is a plane. Speed: 24, distance to destination: 1987.000000, time to distance: 82.791667, maximum flight distance: 2136, capacity: 203
119: This is a ship. Speed: 33, distance to destination: 1138.000000, time to distance: 34.484848, ship type: liner, displacement: 33062
120: 121: This is a ship. Speed: 43, distance to destination: 1540.000000, time to distance: 35.813953, ship type: tanker, displacement: 1330
122: 123: 124: This is a ship. Speed: 18, distance to destination: 1607.000000, time to distance: 89.277778, ship type: tugboat, displacement: 12444
125: This is a plane. Speed: 19, distance to destination: 1828.000000, time to distance: 96.210526, maximum flight distance: 2403, capacity: 208
126: This is a ship. Speed: 12, distance to destination: 764.000000, time to distance: 63.666667, ship type: liner, displacement: 25532
127: 128: This is a ship. Speed: 17, distance to destination: 1134.000000, time to distance: 66.705882, ship type: tugboat, displacement: 31516
129: This is a plane. Speed: 10, distance to destination: 1214.000000, time to distance: 121.400000, maximum flight distance: 2575, capacity: 106
130: This is a ship. Speed: 22, distance to destination: 1006.000000, time to distance: 45.727273, ship type: tugboat, displacement: 12915
131: 132: This is a ship. Speed: 25, distance to destination: 967.000000, time to distance: 38.680000, ship type: liner, displacement: 27225
133: This is a plane. Speed: 6, distance to destination: 1109.000000, time to distance: 184.833333, maximum flight distance: 2045, capacity: 204
134: This is a ship. Speed: 36, distance to destination: 1852.000000, time to distance: 51.444444, ship type: tanker, displacement: 28270
135: This is a plane. Speed: 4, distance to destination: 1390.000000, time to distance: 347.500000, maximum flight distance: 2215, capacity: 289
136: This is a ship. Speed: 45, distance to destination: 1640.000000, time to distance: 36.444444, ship type: liner, displacement: 16078
137: 138: This is a ship. Speed: 40, distance to destination: 1592.000000, time to distance: 39.800000, ship type: tugboat, displacement: 25517
139: This is a ship. Speed: 24, distance to destination: 1222.000000, time to distance: 50.916667, ship type: tanker, displacement: 6877
140: This is a plane. Speed: 11, distance to destination: 1021.000000, time to distance: 92.818182, maximum flight distance: 2880, capacity: 258
141: This is a plane. Speed: 43, distance to destination: 1626.000000, time to distance: 37.813953, maximum flight distance: 3554, capacity: 151
142: 143: This is a ship. Speed: 49, distance to destination: 1926.000000, time to distance: 39.306122, ship type: liner, displacement: 28957
144: This is a ship. Speed: 32, distance to destination: 1686.000000, time to distance: 52.687500, ship type: tanker, displacement: 27688
145: This is a plane. Speed: 7, distance to destination: 486.000000, time to distance: 69.428571, maximum flight distance: 3272, capacity: 275
146: This is a plane. Speed: 19, distance to destination: 1939.000000, time to distance: 102.052632, maximum flight distance: 2350, capacity: 233
147: This is a ship. Speed: 35, distance to destination: 1577.000000, time to distance: 45.057143, ship type: tanker, displacement: 19284
148: This is a plane. Speed: 14, distance to destination: 827.000000, time to distance: 59.071429, maximum flight distance: 3061, capacity: 103
149: 150: This is a plane. Speed: 19, distance to destination: 1895.000000, time to distance: 99.736842, maximum flight distance: 2931, capacity: 161
151: This is a plane. Speed: 12, distance to destination: 467.000000, time to distance: 38.916667, maximum flight distance: 2647, capacity: 120
152: This is a ship. Speed: 39, distance to destination: 1562.000000, time to distance: 40.051282, ship type: tanker, displacement: 18450
153: This is a ship. Speed: 3, distance to destination: 1856.000000, time to distance: 618.666667, ship type: tanker, displacement: 6121
154: This is a plane. Speed: 23, distance to destination: 1362.000000, time to distance: 59.217391, maximum flight distance: 2584, capacity: 124
155: This is a plane. Speed: 27, distance to destination: 1860.000000, time to distance: 68.888889, maximum flight distance: 2435, capacity: 137
156: 157: 158: This is a plane. Speed: 5, distance to destination: 363.000000, time to distance: 72.600000, maximum flight distance: 3656, capacity: 280
159: This is a plane. Speed: 39, distance to destination: 1926.000000, time to distance: 49.384615, maximum flight distance: 3687, capacity: 131
160: This is a ship. Speed: 3, distance to destination: 1264.000000, time to distance: 421.333333, ship type: tanker, displacement: 27853
161: 162: This is a ship. Speed: 47, distance to destination: 1717.000000, time to distance: 36.531915, ship type: tanker, displacement: 26036
163: 164: 165: This is a ship. Speed: 18, distance to destination: 1332.000000, time to distance: 74.000000, ship type: tugboat, displacement: 21962
166: 167: This is a ship. Speed: 6, distance to destination: 1117.000000, time to distance: 186.166667, ship type: tugboat, displacement: 10391
168: This is a ship. Speed: 23, distance to destination: 1888.000000, time to distance: 82.086957, ship type: liner, displacement: 28154
169: 170: 171: This is a ship. Speed: 5, distance to destination: 562.000000, time to distance: 112.400000, ship type: liner, displacement: 12602
172: This is a plane. Speed: 14, distance to destination: 1802.000000, time to distance: 128.714286, maximum flight distance: 3190, capacity: 195
173: This is a ship. Speed: 8, distance to destination: 1209.000000, time to distance: 151.125000, ship type: liner, displacement: 7345
174: 175: 176: This is a ship. Speed: 39, distance to destination: 1850.000000, time to distance: 47.435897, ship type: liner, displacement: 17016
177: 178: This is a plane. Speed: 25, distance to destination: 1941.000000, time to distance: 77.640000, maximum flight distance: 2110, capacity: 192
179: 180: This is a ship. Speed: 21, distance to destination: 1726.000000, time to distance: 82.190476, ship type: tugboat, displacement: 25142
181: 182: 183: This is a plane. Speed: 35, distance to destination: 1046.000000, time to distance: 29.885714, maximum flight distance: 3821, capacity: 213
184: This is a plane. Speed: 7, distance to destination: 752.000000, time to distance: 107.428571, maximum flight distance: 3526, capacity: 174
185: This is a plane. Speed: 27, distance to destination: 936.000000, time to distance: 34.666667, maximum flight distance: 3970, capacity: 138
186: This is a plane. Speed: 3, distance to destination: 414.000000, time to distance: 138.000000, maximum flight distance: 3212, capacity: 282
187: This is a plane. Speed: 31, distance to destination: 1141.000000, time to distance: 36.806452, maximum flight distance: 2068, capacity: 150
188: This is a plane. Speed: 13, distance to destination: 1104.000000, time to distance: 84.923077, maximum flight distance: 2489, capacity: 243
189: This is a plane. Speed: 20, distance to destination: 1397.000000, time to distance: 69.850000, maximum flight distance: 2694, capacity: 216
190: This is a ship. Speed: 38, distance to destination: 1520.000000, time to distance: 40.000000, ship type: tugboat, displacement: 21839
191: 192: 193: This is a plane. Speed: 1, distance to destination: 1116.000000, time to distance: 1116.000000, maximum flight distance: 3191, capacity: 128
194: This is a ship. Speed: 14, distance to destination: 1752.000000, time to distance: 125.142857, ship type: tugboat, displacement: 16725
195: 196: 197: 198: 199: 200: 201: 202: This is a plane. Speed: 1, distance to destination: 266.000000, time to distance: 266.000000, maximum flight distance: 3398, capacity: 246
203: This is a ship. Speed: 41, distance to destination: 1787.000000, time to distance: 43.585366, ship type: tanker, displacement: 31241
204: 205: 206: 207: This is a ship. Speed: 2, distance to destination: 622.000000, time to distance: 311.000000, ship type: tanker, displacement: 18692
208: This is a ship. Speed: 36, distance to destination: 1252.000000, time to distance: 34.777778, ship type: tanker, displacement: 20409
209: This is a plane. Speed: 5, distance to destination: 1823.000000, time to distance: 364.600000, maximum flight distance: 2987, capacity: 115
210: 211: This is a ship. Speed: 5, distance to destination: 619.000000, time to distance: 123.800000, ship type: liner, displacement: 4755
212: 213: This is a plane. Speed: 5, distance to destination: 259.000000, time to distance: 51.800000, maximum flight distance: 3066, capacity: 238
214: This is a plane. Speed: 60, distance to destination: 1962.000000, time to distance: 32.700000, maximum flight distance: 3574, capacity: 110
215: This is a plane. Speed: 19, distance to destination: 1501.000000, time to distance: 79.000000, maximum flight distance: 2537, capacity: 279
216: 217: This is a plane. Speed: 15, distance to destination: 698.000000, time to distance: 46.533333, maximum flight distance: 2128, capacity: 174
218: 219: This is a plane. Speed: 55, distance to destination: 1844.000000, time to distance: 33.527273, maximum flight distance: 3757, capacity: 149
220: 221: 222: This is a ship. Speed: 13, distance to destination: 479.000000, time to distance: 36.846154, ship type: tanker, displacement: 5023
223: This is a ship. Speed: 2, distance to destination: 1911.000000, time to distance: 955.500000, ship type: liner, displacement: 24807
224: This is a ship. Speed: 2, distance to destination: 1659.000000, time to distance: 829.500000, ship type: tugboat, displacement: 8414
225: This is a plane. Speed: 25, distance to destination: 882.000000, time to distance: 35.280000, maximum flight distance: 3359, capacity: 144
226: This is a ship. Speed: 9, distance to destination: 1541.000000, time to distance: 171.222222, ship type: tanker, displacement: 24142
227: This is a ship. Speed: 34, distance to destination: 1309.000000, time to distance: 38.500000, ship type: tugboat, displacement: 1828
228: 229: This is a ship. Speed: 14, distance to destination: 1442.000000, time to distance: 103.000000, ship type: tugboat, displacement: 8285
230: This is a plane. Speed: 11, distance to destination: 1873.000000, time to distance: 170.272727, maximum flight distance: 3851, capacity: 184
231: This is a plane. Speed: 21, distance to destination: 1366.000000, time to distance: 65.047619, maximum flight distance: 2257, capacity: 139
232: This is a ship. Speed: 53, distance to destination: 1846.000000, time to distance: 34.830189, ship type: tugboat, displacement: 25865
233: This is a ship. Speed: 17, distance to destination: 1685.000000, time to distance: 99.117647, ship type: liner, displacement: 22973
234: This is a plane. Speed: 18, distance to destination: 1271.000000, time to distance: 70.611111, maximum flight distance: 3720, capacity: 210
235: 236: This is a plane. Speed: 23, distance to destination: 1342.000000, time to distance: 58.347826, maximum flight distance: 3245, capacity: 273
237: This is a plane. Speed: 35, distance to destination: 1780.000000, time to distance: 50.857143, maximum flight distance: 3715, capacity: 211
238: This is a plane. Speed: 34, distance to destination: 1540.000000, time to distance: 45.294118, maximum flight distance: 2093, capacity: 243
239: This is a ship. Speed: 16, distance to destination: 849.000000, time to distance: 53.062500, ship type: tugboat, displacement: 11676
240: 241: This is a ship. Speed: 25, distance to destination: 1739.000000, time to distance: 69.560000, ship type: liner, displacement: 17752
242: This is a ship. Speed: 53, distance to destination: 1668.000000, time to distance: 31.471698, ship type: tanker, displacement: 29701
243: This is a plane. Speed: 24, distance to destination: 1664.000000, time to distance: 69.333333, maximum flight distance: 3442, capacity: 227
244: 245: 246: 247: This is a ship. Speed: 35, distance to destination: 1743.000000, time to distance: 49.800000, ship type: tugboat, displacement: 17509
248: This is a plane. Speed: 2, distance to destination: 1411.000000, time to distance: 705.500000, maximum flight distance: 2805, capacity: 183
249: 250: 251: This is a plane. Speed: 46, distance to destination: 1618.000000, time to distance: 35.173913, maximum flight distance: 2782, capacity: 101
252: This is a ship. Speed: 8, distance to destination: 974.000000, time to distance: 121.750000, ship type: tanker, displacement: 11940
253: This is a plane. Speed: 44, distance to destination: 1367.000000, time to distance: 31.068182, maximum flight distance: 3735, capacity: 154
254: This is a plane. Speed: 8, distance to destination: 257.000000, time to distance: 32.125000, maximum flight distance: 3211, capacity: 185
255: This is a plane. Speed: 10, distance to destination: 622.000000, time to distance: 62.200000, maximum flight distance: 2974, capacity: 126
256: This is a ship. Speed: 7, distance to destination: 1810.000000, time to distance: 258.571429, ship type: tanker, displacement: 12243
257: This is a ship. Speed: 11, distance to destination: 1421.000000, time to distance: 129.181818, ship type: tugboat, displacement: 14575
258: 259: This is a ship. Speed: 57, distance to destination: 1834.000000, time to distance: 32.175439, ship type: tugboat, displacement: 33384
260: This is a plane. Speed: 41, distance to destination: 1695.000000, time to distance: 41.341463, maximum flight distance: 2676, capacity: 195
261: This is a ship. Speed: 45, distance to destination: 1468.000000, time to distance: 32.622222, ship type: tanker, displacement: 17328
262: This is a plane. Speed: 31, distance to destination: 1265.000000, time to distance: 40.806452, maximum flight distance: 2019, capacity: 140
263: This is a plane. Speed: 4, distance to destination: 1187.000000, time to distance: 296.750000, maximum flight distance: 2962, capacity: 181
264: This is a plane. Speed: 19, distance to destination: 982.000000, time to distance: 51.684211, maximum flight distance: 3603, capacity: 176
265: This is a ship. Speed: 6, distance to destination: 923.000000, time to distance: 153.833333, ship type: tanker, displacement: 22844
266: 267: This is a ship. Speed: 14, distance to destination: 660.000000, time to distance: 47.142857, ship type: tugboat, displacement: 21968
268: This is a plane. Speed: 14, distance to destination: 1552.000000, time to distance: 110.857143, maximum flight distance: 3344, capacity: 244
269: This is a ship. Speed: 2, distance to destination: 1824.000000, time to distance: 912.000000, ship type: liner, displacement: 18823
270: This is a plane. Speed: 6, distance to destination: 1038.000000, time to distance: 173.000000, maximum flight distance: 2022, capacity: 161
271: This is a plane. Speed: 11, distance to destination: 628.000000, time to distance: 57.090909, maximum flight distance: 2782, capacity: 203
272: This is a plane. Speed: 44, distance to destination: 1678.000000, time to distance: 38.136364, maximum flight distance: 3534, capacity: 162
273: This is a plane. Speed: 18, distance to destination: 1349.000000, time to distance: 74.944444, maximum flight distance: 3825, capacity: 172
274: This is a plane. Speed: 24, distance to destination: 1964.000000, time to distance: 81.833333, maximum flight distance: 3052, capacity: 216
275: 276: This is a ship. Speed: 35, distance to destination: 1742.000000, time to distance: 49.771429, ship type: liner, displacement: 15734
277: This is a ship. Speed: 56, distance to destination: 1883.000000, time to distance: 33.625000, ship type: tanker, displacement: 11796
278: This is a plane. Speed: 54, distance to destination: 1842.000000, time to distance: 34.111111, maximum flight distance: 2894, capacity: 141
279: 280: 281: This is a ship. Speed: 2, distance to destination: 811.000000, time to distance: 405.500000, ship type: tugboat, displacement: 8041
282: 283: This is a ship. Speed: 45, distance to destination: 1463.000000, time to distance: 32.511111, ship type: tanker, displacement: 21284
284: This is a ship. Speed: 16, distance to destination: 1440.000000, time to distance: 90.000000, ship type: tanker, displacement: 20498
285: This is a ship. Speed: 11, distance to destination: 1776.000000, time to distance: 161.454545, ship type: tugboat, displacement: 2270
286: 287: This is a plane. Speed: 1, distance to destination: 1690.000000, time to distance: 1690.000000, maximum flight distance: 2464, capacity: 260
288: This is a ship. Speed: 1, distance to destination: 1056.000000, time to distance: 1056.000000, ship type: tugboat, displacement: 30090
289: This is a plane. Speed: 48, distance to destination: 1960.000000, time to distance: 40.833333, maximum flight distance: 2806, capacity: 214
290: This is a plane. Speed: 30, distance to destination: 1278.000000, time to distance: 42.600000, maximum flight distance: 3361, capacity: 286
291: This is a plane. Speed: 18, distance to destination: 1376.000000, time to distance: 76.444444, maximum flight distance: 2065, capacity: 142
292: This is a plane. Speed: 1, distance to destination: 1248.000000, time to distance: 1248.000000, maximum flight distance: 2346, capacity: 273
293: This is a ship. Speed: 29, distance to destination: 1123.000000, time to distance: 38.724138, ship type: liner, displacement: 28154
294: This is a plane. Speed: 40, distance to destination: 1938.000000, time to distance: 48.450000, maximum flight distance: 2024, capacity: 134
295: This is a plane. Speed: 36, distance to destination: 1200.000000, time to distance: 33.333333, maximum flight distance: 3620, capacity: 271
296: 297: This is a ship. Speed: 12, distance to destination: 520.000000, time to distance: 43.333333, ship type: tanker, displacement: 12876
298: 299: This is a plane. Speed: 43, distance to destination: 1408.000000, time to distance: 32.744186, maximum flight distance: 3760, capacity: 263
300: This is a plane. Speed: 15, distance to destination: 1330.000000, time to distance: 88.666667, maximum flight distance: 2232, capacity: 235
301: This is a plane. Speed: 48, distance to destination: 1927.000000, time to distance: 40.145833, maximum flight distance: 2084, capacity: 119
302: 303: 304: This is a ship. Speed: 14, distance to destination: 727.000000, time to distance: 51.928571, ship type: tugboat, displacement: 4785
305: This is a plane. Speed: 18, distance to destination: 1567.000000, time to distance: 87.055556, maximum flight distance: 3184, capacity: 261
306: 307: This is a plane. Speed: 32, distance to destination: 1365.000000, time to distance: 42.656250, maximum flight distance: 3687, capacity: 260
308: This is a ship. Speed: 9, distance to destination: 1993.000000, time to distance: 221.444444, ship type: tanker, displacement: 28237
309: This is a ship. Speed: 28, distance to destination: 1451.000000, time to distance: 51.821429, ship type: tugboat, displacement: 22182
310: This is a ship. Speed: 10, distance to destination: 1903.000000, time to distance: 190.300000, ship type: liner, displacement: 22081
311: 312: This is a ship. Speed: 13, distance to destination: 651.000000, time to distance: 50.076923, ship type: liner, displacement: 15032
313: This is a ship. Speed: 4, distance to destination: 1807.000000, time to distance: 451.750000, ship type: liner, displacement: 31045
314: This is a ship. Speed: 27, distance to destination: 1963.000000, time to distance: 72.703704, ship type: tugboat, displacement: 24904
315: This is a plane. Speed: 49, distance to destination: 1495.000000, time to distance: 30.510204, maximum flight distance: 3650, capacity: 207
316: This is a ship. Speed: 37, distance to destination: 1205.000000, time to distance: 32.567568, ship type: liner, displacement: 2930
317: 318: This is a ship. Speed: 2, distance to destination: 749.000000, time to distance: 374.500000, ship type: tugboat, displacement: 2770
319: 320: This is a plane. Speed: 23, distance to destination: 1827.000000, time to distance: 79.434783, maximum flight distance: 3729, capacity: 131
321: This is a ship. Speed: 50, distance to destination: 1751.000000, time to distance: 35.020000, ship type: tanker, displacement: 3542
322: This is a ship. Speed: 12, distance to destination: 1267.000000, time to distance: 105.583333, ship type: tugboat, displacement: 22103
323: This is a ship. Speed: 20, distance to destination: 971.000000, time to distance: 48.550000, ship type: tugboat, displacement: 28883
324: 325: This is a ship. Speed: 28, distance to destination: 842.000000, time to distance: 30.071429, ship type: tanker, displacement: 27382
326: 327: This is a plane. Speed: 17, distance to destination: 968.000000, time to distance: 56.941176, maximum flight distance: 2153, capacity: 300
328: This is a ship. Speed: 8, distance to destination: 1408.000000, time to distance: 176.000000, ship type: tanker, displacement: 5599
329: 330: This is a ship. Speed: 28, distance to destination: 1171.000000, time to distance: 41.821429, ship type: liner, displacement: 11857
331: 332: This is a ship. Speed: 21, distance to destination: 1866.000000, time to distance: 88.857143, ship type: liner, displacement: 5333
333: 334: 335: This is a ship. Speed: 6, distance to destination: 633.000000, time to distance: 105.500000, ship type: liner, displacement: 23342
336: This is a ship. Speed: 19, distance to destination: 1960.000000, time to distance: 103.157895, ship type: tugboat, displacement: 15928
337: 338: This is a plane. Speed: 25, distance to destination: 1809.000000, time to distance: 72.360000, maximum flight distance: 3062, capacity: 121
339: 340: This is a plane. Speed: 33, distance to destination: 1611.000000, time to distance: 48.818182, maximum flight distance: 3311, capacity: 178
341: This is a plane. Speed: 7, distance to destination: 828.000000, time to distance: 118.285714, maximum flight distance: 2615, capacity: 164
342: 343: This is a ship. Speed: 2, distance to destination: 1609.000000, time to distance: 804.500000, ship type: tugboat, displacement: 10898
344: This is a plane. Speed: 8, distance to destination: 859.000000, time to distance: 107.375000, maximum flight distance: 3323, capacity: 133
345: This is a ship. Speed: 44, distance to destination: 1758.000000, time to distance: 39.954545, ship type: tugboat, displacement: 9703
346: 347: This is a ship. Speed: 28, distance to destination: 1417.000000, time to distance: 50.607143, ship type: tugboat, displacement: 3293
348: This is a ship. Speed: 46, distance to destination: 1568.000000, time to distance: 34.086957, ship type: liner, displacement: 26532
349: This is a ship. Speed: 18, distance to destination: 1991.000000, time to distance: 110.611111, ship type: tanker, displacement: 30995
350: 351: 352: 353: This is a plane. Speed: 11, distance to destination: 706.000000, time to distance: 64.181818, maximum flight distance: 3656, capacity: 285
354: 355: 356: This is a plane. Speed: 14, distance to destination: 1996.000000, time to distance: 142.571429, maximum flight distance: 3287, capacity: 230
357: 358: 359: This is a plane. Speed: 21, distance to destination: 799.000000, time to distance: 38.047619, maximum flight distance: 2223, capacity: 213
360: This is a ship. Speed: 1, distance to destination: 198.000000, time to distance: 198.000000, ship type: tanker, displacement: 26533
361: This is a plane. Speed: 11, distance to destination: 1922.000000, time to distance: 174.727273, maximum flight distance: 2695, capacity: 163
