Container contains 10000 elements.
1: This is a ship. Speed: 91, distance to destination: 75.000000, time to distance: 0.824176, ship type: tugboat, displacement: 17684
48: This is a ship. Speed: 168, distance to destination: 770.000000, time to distance: 4.583333, ship type: tugboat, displacement: 24514
49: This is a plane. Speed: 96, distance to destination: 35.000000, time to distance: 0.364583, maximum flight distance: 2179, capacity: 168
50: This is a ship. Speed: 105, distance to destination: 689.000000, time to distance: 6.561905, ship type: liner, displacement: 14245
51: 52: 53: This is a plane. Speed: 56, distance to destination: 573.000000, time to distance: 10.232143, maximum flight distance: 2369, capacity: 144
54: 55: This is a ship. Speed: 125, distance to destination: 81.000000, time to distance: 0.648000, ship type: liner, displacement: 24588
56: This is a plane. Speed: 117, distance to destination: 881.000000, time to distance: 7.529915, maximum flight distance: 3452, capacity: 140
57: This is a ship. Speed: 5, distance to destination: 1612.000000, time to distance: 322.400000, ship type: liner, displacement: 3210
58: This is a plane. Speed: 180, distance to destination: 423.000000, time to distance: 2.350000, maximum flight distance: 3947, capacity: 123
59: This is a ship. Speed: 125, distance to destination: 1915.000000, time to distance: 15.320000, ship type: liner, displacement: 22525
60: This is a plane. Speed: 69, distance to destination: 1843.000000, time to distance: 26.710145, maximum flight distance: 2391, capacity: 146
61: 62: This is a ship. Speed: 197, distance to destination: 1372.000000, time to distance: 6.964467, ship type: liner, displacement: 15163
63: 64: This is a plane. Speed: 112, distance to destination: 1943.000000, time to distance: 17.348214, maximum flight distance: 2486, capacity: 271
65: This is a plane. Speed: 183, distance to destination: 1741.000000, time to distance: 9.513661, maximum flight distance: 3409, capacity: 208
66: This is a plane. Speed: 153, distance to destination: 1822.000000, time to distance: 11.908497, maximum flight distance: 2783, capacity: 174
67: This is a plane. Speed: 111, distance to destination: 615.000000, time to distance: 5.540541, maximum flight distance: 2727, capacity: 106
68: 69: This is a plane. Speed: 113, distance to destination: 1611.000000, time to distance: 14.256637, maximum flight distance: 2359, capacity: 178
70: 71: This is a plane. Speed: 13, distance to destination: 1093.000000, time to distance: 84.076923, maximum flight distance: 3752, capacity: 194
72: 73: This is a plane. Speed: 110, distance to destination: 1242.000000, time to distance: 11.290909, maximum flight distance: 3154, capacity: 138
74: This is a ship. Speed: 154, distance to destination: 1204.000000, time to distance: 7.818182, ship type: tanker, displacement: 5552
75: 76: 77: This is a plane. Speed: 91, distance to destination: 1761.000000, time to distance: 19.351648, maximum flight distance: 3985, capacity: 174
78: This is a plane. Speed: 183, distance to destination: 1445.000000, time to distance: 7.896175, maximum flight distance: 2580, capacity: 288
79: This is a ship. Speed: 54, distance to destination: 558.000000, time to distance: 10.333333, ship type: tugboat, displacement: 29161
80: This is a plane. Speed: 162, distance to destination: 1929.000000, time to distance: 11.907407, maximum flight distance: 2590, capacity: 298
81: This is a ship. Speed: 131, distance to destination: 100.000000, time to distance: 0.763359, ship type: liner, displacement: 15058
82: 83: This is a ship. Speed: 198, distance to destination: 1903.000000, time to distance: 9.611111, ship type: liner, displacement: 7280
84: 85: 86: This is a plane. Speed: 86, distance to destination: 330.000000, time to distance: 3.837209, maximum flight distance: 3869, capacity: 212
87: 88: This is a plane. Speed: 14, distance to destination: 733.000000, time to distance: 52.357143, maximum flight distance: 2950, capacity: 261
89: This is a ship. Speed: 183, distance to destination: 688.000000, time to distance: 3.759563, ship type: tugboat, displacement: 25365
90: 91: This is a ship. Speed: 157, distance to destination: 1828.000000, time to distance: 11.643312, ship type: tugboat, displacement: 23812
92: 93: This is a plane. Speed: 64, distance to destination: 1669.000000, time to distance: 26.078125, maximum flight distance: 2693, capacity: 152
94: This is a plane. Speed: 188, distance to destination: 816.000000, time to distance: 4.340426, maximum flight distance: 2701, capacity: 271
95: This is a ship. Speed: 145, distance to destination: 849.000000, time to distance: 5.855172, ship type: tanker, displacement: 17953
96: This is a plane. Speed: 103, distance to destination: 84.000000, time to distance: 0.815534, maximum flight distance: 3842, capacity: 268
97: This is a ship. Speed: 43, distance to destination: 1581.000000, time to distance: 36.767442, ship type: liner, displacement: 1875
98: 99: This is a plane. Speed: 141, distance to destination: 101.000000, time to distance: 0.716312, maximum flight distance: 2780, capacity: 296
100: This is a plane. Speed: 137, distance to destination: 348.000000, time to distance: 2.540146, maximum flight distance: 2035, capacity: 152
101: This is a ship. Speed: 4, distance to destination: 1872.000000, time to distance: 468.000000, ship type: liner, displacement: 6097
102: This is a ship. Speed: 190, distance to destination: 1436.000000, time to distance: 7.557895, ship type: tanker, displacement: 6431
103: This is a plane. Speed: 72, distance to destination: 598.000000, time to distance: 8.305556, maximum flight distance: 2753, capacity: 133
104: This is a plane. Speed: 66, distance to destination: 1411.000000, time to distance: 21.378788, maximum flight distance: 2960, capacity: 134
105: 106: This is a ship. Speed: 74, distance to destination: 889.000000, time to distance: 12.013514, ship type: tugboat, displacement: 16914
107: 108: 109: This is a ship. Speed: 107, distance to destination: 549.000000, time to distance: 5.130841, ship type: liner, displacement: 18770
110: This is a plane. Speed: 7, distance to destination: 84.000000, time to distance: 12.000000, maximum flight distance: 2516, capacity: 279
111: This is a plane. Speed: 57, distance to destination: 1443.000000, time to distance: 25.315789, maximum flight distance: 3672, capacity: 199
112: This is a plane. Speed: 160, distance to destination: 915.000000, time to distance: 5.718750, maximum flight distance: 2516, capacity: 116
113: This is a ship. Speed: 54, distance to destination: 1840.000000, time to distance: 34.074074, ship type: tanker, displacement: 8944
114: This is a plane. Speed: 46, distance to destination: 814.000000, time to distance: 17.695652, maximum flight distance: 3532, capacity: 283
115: This is a ship. Speed: 155, distance to destination: 944.000000, time to distance: 6.090323, ship type: liner, displacement: 24099
116: This is a ship. Speed: 54, distance to destination: 1479.000000, time to distance: 27.388889, ship type: tugboat, displacement: 16341
117: This is a plane. Speed: 17, distance to destination: 335.000000, time to distance: 19.705882, maximum flight distance: 3270, capacity: 237
118: This is a ship. Speed: 183, distance to destination: 80.000000, time to distance: 0.437158, ship type: tanker, displacement: 23621
119: This is a ship. Speed: 72, distance to destination: 1130.000000, time to distance: 15.694444, ship type: tanker, displacement: 13897
120: This is a plane. Speed: 64, distance to destination: 1383.000000, time to distance: 21.609375, maximum flight distance: 3473, capacity: 239
121: 122: This is a ship. Speed: 58, distance to destination: 868.000000, time to distance: 14.965517, ship type: liner, displacement: 17053
123: This is a plane. Speed: 85, distance to destination: 1147.000000, time to distance: 13.494118, maximum flight distance: 3185, capacity: 207
124: This is a ship. Speed: 36, distance to destination: 1113.000000, time to distance: 30.916667, ship type: tugboat, displacement: 27707
125: This is a ship. Speed: 162, distance to destination: 1406.000000, time to distance: 8.679012, ship type: tanker, displacement: 20236
126: 127: This is a ship. Speed: 191, distance to destination: 1197.000000, time to distance: 6.267016, ship type: tugboat, displacement: 2485
128: This is a plane. Speed: 157, distance to destination: 6.000000, time to distance: 0.038217, maximum flight distance: 3338, capacity: 129
129: 130: This is a ship. Speed: 152, distance to destination: 1487.000000, time to distance: 9.782895, ship type: tanker, displacement: 19031
131: This is a ship. Speed: 147, distance to destination: 1775.000000, time to distance: 12.074830, ship type: tugboat, displacement: 10724
132: 133: This is a plane. Speed: 26, distance to destination: 1233.000000, time to distance: 47.423077, maximum flight distance: 3637, capacity: 108
134: This is a ship. Speed: 112, distance to destination: 325.000000, time to distance: 2.901786, ship type: tanker, displacement: 30938
135: This is a plane. Speed: 124, distance to destination: 1458.000000, time to distance: 11.758065, maximum flight distance: 2042, capacity: 252
136: This is a ship. Speed: 50, distance to destination: 233.000000, time to distance: 4.660000, ship type: tanker, displacement: 32043
137: This is a ship. Speed: 51, distance to destination: 1238.000000, time to distance: 24.274510, ship type: tanker, displacement: 28936
138: 139: 140: This is a plane. Speed: 114, distance to destination: 333.000000, time to distance: 2.921053, maximum flight distance: 3990, capacity: 210
141: 142: 143: 144: 145: This is a ship. Speed: 180, distance to destination: 1955.000000, time to distance: 10.861111, ship type: tanker, displacement: 33434
146: This is a plane. Speed: 155, distance to destination: 1168.000000, time to distance: 7.535484, maximum flight distance: 2718, capacity: 229
147: This is a plane. Speed: 95, distance to destination: 539.000000, time to distance: 5.673684, maximum flight distance: 3421, capacity: 239
148: This is a ship. Speed: 123, distance to destination: 369.000000, time to distance: 3.000000, ship type: tanker, displacement: 18411
149: This is a plane. Speed: 87, distance to destination: 728.000000, time to distance: 8.367816, maximum flight distance: 3002, capacity: 186
150: 151: This is a plane. Speed: 199, distance to destination: 1180.000000, time to distance: 5.929648, maximum flight distance: 2360, capacity: 105
152: This is a ship. Speed: 13, distance to destination: 520.000000, time to distance: 40.000000, ship type: tanker, displacement: 11720
153: 154: This is a ship. Speed: 99, distance to destination: 1382.000000, time to distance: 13.959596, ship type: tanker, displacement: 29507
155: 156: This is a plane. Speed: 183, distance to destination: 1910.000000, time to distance: 10.437158, maximum flight distance: 2642, capacity: 299
157: This is a ship. Speed: 161, distance to destination: 1391.000000, time to distance: 8.639752, ship type: liner, displacement: 11404
158: This is a plane. Speed: 139, distance to destination: 1134.000000, time to distance: 8.158273, maximum flight distance: 2340, capacity: 133
159: This is a ship. Speed: 149, distance to destination: 1547.000000, time to distance: 10.382550, ship type: tugboat, displacement: 5302
160: This is a ship. Speed: 44, distance to destination: 829.000000, time to distance: 18.840909, ship type: tanker, displacement: 13188
161: 162: This is a ship. Speed: 11, distance to destination: 1691.000000, time to distance: 153.727273, ship type: tugboat, displacement: 33201
163: This is a plane. Speed: 141, distance to destination: 216.000000, time to distance: 1.531915, maximum flight distance: 3971, capacity: 206
164: This is a ship. Speed: 111, distance to destination: 1908.000000, time to distance: 17.189189, ship type: tugboat, displacement: 18624
165: This is a ship. Speed: 68, distance to destination: 320.000000, time to distance: 4.705882, ship type: liner, displacement: 1847
166: 167: This is a plane. Speed: 187, distance to destination: 831.000000, time to distance: 4.443850, maximum flight distance: 3885, capacity: 230
168: This is a ship. Speed: 101, distance to destination: 1044.000000, time to distance: 10.336634, ship type: tanker, displacement: 19280
169: 170: This is a plane. Speed: 173, distance to destination: 1354.000000, time to distance: 7.826590, maximum flight distance: 3794, capacity: 122
171: This is a plane. Speed: 72, distance to destination: 1860.000000, time to distance: 25.833333, maximum flight distance: 3059, capacity: 133
172: This is a plane. Speed: 88, distance to destination: 209.000000, time to distance: 2.375000, maximum flight distance: 3003, capacity: 143
173: This is a plane. Speed: 31, distance to destination: 23.000000, time to distance: 0.741935, maximum flight distance: 3592, capacity: 179
174: This is a ship. Speed: 183, distance to destination: 927.000000, time to distance: 5.065574, ship type: liner, displacement: 9034
175: 176: This is a ship. Speed: 198, distance to destination: 1425.000000, time to distance: 7.196970, ship type: liner, displacement: 30206
177: This is a ship. Speed: 38, distance to destination: 202.000000, time to distance: 5.315789, ship type: tugboat, displacement: 30859
178: This is a ship. Speed: 95, distance to destination: 879.000000, time to distance: 9.252632, ship type: tanker, displacement: 24358
179: This is a ship. Speed: 68, distance to destination: 215.000000, time to distance: 3.161765, ship type: tanker, displacement: 17937
180: 181: This is a plane. Speed: 38, distance to destination: 1744.000000, time to distance: 45.894737, maximum flight distance: 3195, capacity: 173
182: 183: This is a ship. Speed: 133, distance to destination: 1401.000000, time to distance: 10.533835, ship type: tanker, displacement: 20464
184: This is a ship. Speed: 98, distance to destination: 1516.000000, time to distance: 15.469388, ship type: tanker, displacement: 30623
185: This is a ship. Speed: 173, distance to destination: 1234.000000, time to distance: 7.132948, ship type: tanker, displacement: 9867
186: This is a ship. Speed: 150, distance to destination: 1575.000000, time to distance: 10.500000, ship type: liner, displacement: 28330
187: This is a plane. Speed: 25, distance to destination: 493.000000, time to distance: 19.720000, maximum flight distance: 2183, capacity: 153
188: This is a plane. Speed: 86, distance to destination: 1591.000000, time to distance: 18.500000, maximum flight distance: 3260, capacity: 201
189: This is a ship. Speed: 61, distance to destination: 436.000000, time to distance: 7.147541, ship type: tugboat, displacement: 22495
190: This is a ship. Speed: 28, distance to destination: 1289.000000, time to distance: 46.035714, ship type: liner, displacement: 1824
191: 192: 193: This is a ship. Speed: 95, distance to destination: 1354.000000, time to distance: 14.252632, ship type: liner, displacement: 17873
194: This is a ship. Speed: 151, distance to destination: 1352.000000, time to distance: 8.953642, ship type: tanker, displacement: 22209
195: This is a ship. Speed: 68, distance to destination: 657.000000, time to distance: 9.661765, ship type: tanker, displacement: 16081
196: This is a ship. Speed: 192, distance to destination: 1523.000000, time to distance: 7.932292, ship type: tugboat, displacement: 31676
197: This is a ship. Speed: 70, distance to destination: 815.000000, time to distance: 11.642857, ship type: liner, displacement: 6507
198: This is a ship. Speed: 176, distance to destination: 1805.000000, time to distance: 10.255682, ship type: tugboat, displacement: 26468
199: 200: 201: 202: This is a ship. Speed: 103, distance to destination: 648.000000, time to distance: 6.291262, ship type: liner, displacement: 4647
203: This is a plane. Speed: 78, distance to destination: 1951.000000, time to distance: 25.012821, maximum flight distance: 2068, capacity: 138
204: 205: 206: This is a ship. Speed: 192, distance to destination: 295.000000, time to distance: 1.536458, ship type: tugboat, displacement: 30899
207: 208: This is a ship. Speed: 144, distance to destination: 1503.000000, time to distance: 10.437500, ship type: tugboat, displacement: 2807
209: This is a ship. Speed: 94, distance to destination: 1753.000000, time to distance: 18.648936, ship type: tanker, displacement: 1546
210: 211: This is a plane. Speed: 106, distance to destination: 410.000000, time to distance: 3.867925, maximum flight distance: 2508, capacity: 149
212: This is a ship. Speed: 49, distance to destination: 917.000000, time to distance: 18.714286, ship type: tugboat, displacement: 33120
213: This is a plane. Speed: 73, distance to destination: 1941.000000, time to distance: 26.589041, maximum flight distance: 3077, capacity: 194
214: This is a plane. Speed: 194, distance to destination: 562.000000, time to distance: 2.896907, maximum flight distance: 3379, capacity: 113
215: This is a ship. Speed: 5, distance to destination: 1722.000000, time to distance: 344.400000, ship type: liner, displacement: 25650
216: This is a ship. Speed: 192, distance to destination: 602.000000, time to distance: 3.135417, ship type: liner, displacement: 12588
217: This is a ship. Speed: 35, distance to destination: 1593.000000, time to distance: 45.514286, ship type: liner, displacement: 31649
218: This is a plane. Speed: 184, distance to destination: 1335.000000, time to distance: 7.255435, maximum flight distance: 2504, capacity: 204
219: This is a ship. Speed: 19, distance to destination: 383.000000, time to distance: 20.157895, ship type: tugboat, displacement: 22158
220: This is a ship. Speed: 155, distance to destination: 1262.000000, time to distance: 8.141935, ship type: tugboat, displacement: 29924
221: This is a ship. Speed: 4, distance to destination: 771.000000, time to distance: 192.750000, ship type: tugboat, displacement: 27847
222: This is a ship. Speed: 181, distance to destination: 544.000000, time to distance: 3.005525, ship type: tanker, displacement: 7804
223: This is a ship. Speed: 29, distance to destination: 1329.000000, time to distance: 45.827586, ship type: tanker, displacement: 15525
224: 225: This is a ship. Speed: 179, distance to destination: 245.000000, time to distance: 1.368715, ship type: tanker, displacement: 8141
226: This is a plane. Speed: 179, distance to destination: 686.000000, time to distance: 3.832402, maximum flight distance: 3161, capacity: 152
227: 228: This is a plane. Speed: 108, distance to destination: 1076.000000, time to distance: 9.962963, maximum flight distance: 2852, capacity: 178
229: This is a plane. Speed: 17, distance to destination: 439.000000, time to distance: 25.823529, maximum flight distance: 3327, capacity: 276
230: This is a ship. Speed: 161, distance to destination: 437.000000, time to distance: 2.714286, ship type: tanker, displacement: 2549
231: 232: This is a ship. Speed: 139, distance to destination: 1915.000000, time to distance: 13.776978, ship type: tanker, displacement: 4175
233: This is a ship. Speed: 77, distance to destination: 1373.000000, time to distance: 17.831169, ship type: tanker, displacement: 17216
234: This is a ship. Speed: 194, distance to destination: 1991.000000, time to distance: 10.262887, ship type: liner, displacement: 8497
235: This is a plane. Speed: 167, distance to destination: 1906.000000, time to distance: 11.413174, maximum flight distance: 2699, capacity: 214
236: 237: This is a ship. Speed: 84, distance to destination: 285.000000, time to distance: 3.392857, ship type: liner, displacement: 2050
238: 239: 240: This is a ship. Speed: 130, distance to destination: 1290.000000, time to distance: 9.923077, ship type: tanker, displacement: 16666
241: This is a plane. Speed: 99, distance to destination: 1406.000000, time to distance: 14.202020, maximum flight distance: 3937, capacity: 255
242: This is a plane. Speed: 136, distance to destination: 259.000000, time to distance: 1.904412, maximum flight distance: 3128, capacity: 181
243: This is a ship. Speed: 39, distance to destination: 311.000000, time to distance: 7.974359, ship type: tanker, displacement: 31762
244: 245: 246: This is a plane. Speed: 66, distance to destination: 1736.000000, time to distance: 26.303030, maximum flight distance: 2568, capacity: 264
247: This is a ship. Speed: 97, distance to destination: 290.000000, time to distance: 2.989691, ship type: liner, displacement: 24141
248: 249: This is a plane. Speed: 197, distance to destination: 1326.000000, time to distance: 6.730964, maximum flight distance: 3315, capacity: 264
250: 251: 252: 253: This is a ship. Speed: 184, distance to destination: 1977.000000, time to distance: 10.744565, ship type: tanker, displacement: 5457
254: This is a ship. Speed: 179, distance to destination: 581.000000, time to distance: 3.245810, ship type: liner, displacement: 17562
255: 256: This is a ship. Speed: 67, distance to destination: 1956.000000, time to distance: 29.194030, ship type: tanker, displacement: 20174
257: 258: This is a plane. Speed: 125, distance to destination: 1080.000000, time to distance: 8.640000, maximum flight distance: 2265, capacity: 251
259: This is a ship. Speed: 47, distance to destination: 727.000000, time to distance: 15.468085, ship type: tanker, displacement: 23072
260: This is a plane. Speed: 14, distance to destination: 131.000000, time to distance: 9.357143, maximum flight distance: 2278, capacity: 121
261: 262: This is a ship. Speed: 130, distance to destination: 1584.000000, time to distance: 12.184615, ship type: liner, displacement: 25524
263: 264: This is a plane. Speed: 111, distance to destination: 1257.000000, time to distance: 11.324324, maximum flight distance: 2919, capacity: 197
265: This is a plane. Speed: 121, distance to destination: 1128.000000, time to distance: 9.322314, maximum flight distance: 3012, capacity: 238
266: 267: This is a ship. Speed: 65, distance to destination: 1511.000000, time to distance: 23.246154, ship type: tugboat, displacement: 27394
268: This is a ship. Speed: 111, distance to destination: 369.000000, time to distance: 3.324324, ship type: tugboat, displacement: 12403
269: 270: This is a plane. Speed: 104, distance to destination: 1710.000000, time to distance: 16.442308, maximum flight distance: 3004, capacity: 141
271: This is a ship. Speed: 190, distance to destination: 1335.000000, time to distance: 7.026316, ship type: liner, displacement: 3299
272: 273: This is a ship. Speed: 14, distance to destination: 613.000000, time to distance: 43.785714, ship type: liner, displacement: 33664
274: This is a ship. Speed: 29, distance to destination: 1793.000000, time to distance: 61.827586, ship type: liner, displacement: 12215
275: This is a ship. Speed: 99, distance to destination: 1298.000000, time to distance: 13.111111, ship type: liner, displacement: 24369
276: 277: This is a plane. Speed: 25, distance to destination: 75.000000, time to distance: 3.000000, maximum flight distance: 2408, capacity: 155
278: This is a plane. Speed: 90, distance to destination: 538.000000, time to distance: 5.977778, maximum flight distance: 2966, capacity: 109
279: This is a ship. Speed: 181, distance to destination: 986.000000, time to distance: 5.447514, ship type: tanker, displacement: 1799
280: This is a ship. Speed: 151, distance to destination: 383.000000, time to distance: 2.536424, ship type: liner, displacement: 8719
281: This is a plane. Speed: 71, distance to destination: 389.000000, time to distance: 5.478873, maximum flight distance: 2742, capacity: 138
282: This is a ship. Speed: 97, distance to destination: 1901.000000, time to distance: 19.597938, ship type: tugboat, displacement: 30559
283: This is a ship. Speed: 117, distance to destination: 1650.000000, time to distance: 14.102564, ship type: tanker, displacement: 2630
284: 285: This is a ship. Speed: 194, distance to destination: 1587.000000, time to distance: 8.180412, ship type: liner, displacement: 24725
286: This is a plane. Speed: 184, distance to destination: 846.000000, time to distance: 4.597826, maximum flight distance: 3896, capacity: 274
287: 288: This is a ship. Speed: 60, distance to destination: 1957.000000, time to distance: 32.616667, ship type: tugboat, displacement: 7126
289: This is a plane. Speed: 71, distance to destination: 96.000000, time to distance: 1.352113, maximum flight distance: 3587, capacity: 233
290: 291: 292: This is a ship. Speed: 110, distance to destination: 520.000000, time to distance: 4.727273, ship type: liner, displacement: 25950
293: This is a plane. Speed: 185, distance to destination: 1595.000000, time to distance: 8.621622, maximum flight distance: 2729, capacity: 237
294: 295: 296: This is a ship. Speed: 64, distance to destination: 374.000000, time to distance: 5.843750, ship type: liner, displacement: 9595
297: This is a ship. Speed: 171, distance to destination: 1310.000000, time to distance: 7.660819, ship type: tugboat, displacement: 5402
298: This is a ship. Speed: 31, distance to destination: 1512.000000, time to distance: 48.774194, ship type: tugboat, displacement: 6415
299: This is a ship. Speed: 173, distance to destination: 517.000000, time to distance: 2.988439, ship type: liner, displacement: 25444
300: This is a ship. Speed: 112, distance to destination: 106.000000, time to distance: 0.946429, ship type: tugboat, displacement: 8088
301: This is a ship. Speed: 134, distance to destination: 1081.000000, time to distance: 8.067164, ship type: tanker, displacement: 28836
302: This is a ship. Speed: 140, distance to destination: 941.000000, time to distance: 6.721429, ship type: tanker, displacement: 20536
303: This is a ship. Speed: 79, distance to destination: 1215.000000, time to distance: 15.379747, ship type: tanker, displacement: 22179
304: This is a ship. Speed: 198, distance to destination: 1823.000000, time to distance: 9.207071, ship type: tanker, displacement: 11262
305: This is a plane. Speed: 66, distance to destination: 1815.000000, time to distance: 27.500000, maximum flight distance: 3507, capacity: 133
306: This is a ship. Speed: 46, distance to destination: 44.000000, time to distance: 0.956522, ship type: liner, displacement: 21397
307: 308: This is a plane. Speed: 197, distance to destination: 325.000000, time to distance: 1.649746, maximum flight distance: 2801, capacity: 296
309: This is a plane. Speed: 160, distance to destination: 1760.000000, time to distance: 11.000000, maximum flight distance: 2619, capacity: 110
310: This is a ship. Speed: 171, distance to destination: 379.000000, time to distance: 2.216374, ship type: tanker, displacement: 18345
311: This is a ship. Speed: 132, distance to destination: 469.000000, time to distance: 3.553030, ship type: tugboat, displacement: 28912
312: This is a plane. Speed: 35, distance to destination: 338.000000, time to distance: 9.657143, maximum flight distance: 2551, capacity: 113
313: This is a ship. Speed: 110, distance to destination: 222.000000, time to distance: 2.018182, ship type: tanker, displacement: 23392
314: This is a ship. Speed: 59, distance to destination: 982.000000, time to distance: 16.644068, ship type: tugboat, displacement: 26332
315: This is a ship. Speed: 45, distance to destination: 1307.000000, time to distance: 29.044444, ship type: tugboat, displacement: 29118
316: This is a plane. Speed: 112, distance to destination: 1173.000000, time to distance: 10.473214, maximum flight distance: 2671, capacity: 119
317: This is a ship. Speed: 93, distance to destination: 1684.000000, time to distance: 18.107527, ship type: tugboat, displacement: 33404
318: 319: 320: This is a ship. Speed: 17, distance to destination: 128.000000, time to distance: 7.529412, ship type: liner, displacement: 32538
321: 322: This is a plane. Speed: 192, distance to destination: 454.000000, time to distance: 2.364583, maximum flight distance: 2785, capacity: 223
323: 324: This is a plane. Speed: 107, distance to destination: 1452.000000, time to distance: 13.570093, maximum flight distance: 3535, capacity: 263
325: 326: This is a plane. Speed: 127, distance to destination: 1518.000000, time to distance: 11.952756, maximum flight distance: 2955, capacity: 229
327: This is a ship. Speed: 80, distance to destination: 1953.000000, time to distance: 24.412500, ship type: tugboat, displacement: 21540
328: This is a ship. Speed: 66, distance to destination: 1822.000000, time to distance: 27.606061, ship type: tugboat, displacement: 10053
329: This is a ship. Speed: 178, distance to destination: 1115.000000, time to distance: 6.264045, ship type: liner, displacement: 33757
330: This is a plane. Speed: 17, distance to destination: 334.000000, time to distance: 19.647059, maximum flight distance: 2163, capacity: 153
331: This is a plane. Speed: 18, distance to destination: 559.000000, time to distance: 31.055556, maximum flight distance: 2190, capacity: 195
332: 333: This is a plane. Speed: 120, distance to destination: 1742.000000, time to distance: 14.516667, maximum flight distance: 3593, capacity: 207
334: This is a ship. Speed: 1, distance to destination: 450.000000, time to distance: 450.000000, ship type: liner, displacement: 3676
335: 336: This is a ship. Speed: 140, distance to destination: 1641.000000, time to distance: 11.721429, ship type: liner, displacement: 14715
337: This is a ship. Speed: 62, distance to destination: 268.000000, time to distance: 4.322581, ship type: liner, displacement: 11818
338: This is a ship. Speed: 82, distance to destination: 1815.000000, time to distance: 22.134146, ship type: tugboat, displacement: 31944
